Sentiment,Auto-Deleveraging_Count,Buy_Count,Close Long_Count,Close Short_Count,Liquidated Isolated Short_Count,Long > Short_Count,Open Long_Count,Open Short_Count,Sell_Count,Settlement_Count,Short > Long_Count,Spot Dust Conversion_Count,Auto-Deleveraging_Pct,Buy_Pct,Close Long_Pct,Close Short_Pct,Liquidated Isolated Short_Pct,Long > Short_Pct,Open Long_Pct,Open Short_Pct,Sell_Pct,Settlement_Pct,Short > Long_Pct,Spot Dust Conversion_Pct
Extreme Fear,0,807,6241,3117,0,5,7005,3174,1042,0,6,3,0.0,3.7710280373831777,29.16355140186916,14.565420560747663,0.0,0.023364485981308414,32.73364485981308,14.83177570093458,4.869158878504673,0.0,0.028037383177570093,0.014018691588785047
Fear,0,3207,17260,9221,0,14,17824,10887,3364,0,18,42,0.0,5.186215372673319,27.912091466274237,14.911784206866438,0.0,0.022640166890373077,28.824166761000697,17.605964066820835,5.440108672801074,0.0,0.029108786001908242,0.06792050067111924
Neutral,0,2885,9993,5850,0,15,10222,6353,2346,0,12,10,0.0,7.655362734171842,26.516478267791754,15.523005890781722,0.0,0.03980257920713262,27.124130977020645,16.857719046860904,6.225123387995542,0.0,0.0318420633657061,0.026535052804755082
Greed,8,4685,7998,11322,1,16,8544,11664,5986,1,23,55,0.015903624038327735,9.31355982744568,15.899648132318154,22.507603920243323,0.001987953004790967,0.03180724807665547,16.98507047293402,23.187483847881836,11.899886686678727,0.001987953004790967,0.04572291911019223,0.10933741526350316
Extreme Greed,0,5132,7186,6497,0,7,6300,7663,7164,0,11,32,0.0,12.832566513302659,17.96859371874375,16.245749149829965,0.0,0.017503500700140028,15.753150630126026,19.16133226645329,17.91358271654331,0.0,0.027505501100220042,0.08001600320064013
