Sentiment,Trades,Unique_Traders,Total_PnL,Avg_PnL,Median_PnL,PnL_Std,Win_Rate,Profit_Factor,Avg_Trade_Size_USD,Median_Trade_Size_USD,Avg_Fee,Total_Fees,Avg_Sentiment_Index_Value
Extreme Fear,21400,32,739110.2484899999,34.53786207897196,0.0,1136.0560914311961,0.370607476635514,2.1615357233166548,5349.7318429906545,766.15,1.116291305578827,23888.6339393869,19.690514018691587
Fear,61837,32,3357155.441642,54.2903996254993,0.0,935.3554378356819,0.42076750165758364,6.655644032349053,7816.109930785776,735.96,1.495171962969659,92456.9486741548,33.20254863592994
Neutral,37686,31,1292920.67555,34.30771839807886,0.0,517.122219729204,0.3969909250119408,4.321264581464444,4782.732661465797,547.655,1.044798288591806,39374.2683038708,48.66117391073608
Greed,50303,31,2150129.272951,42.74355948851957,0.0,1116.0283897576269,0.38482794266743536,3.0309415986812955,5736.884375086972,555.0,1.254372343183673,63098.6919791683,67.97777468540643
Extreme Greed,39992,30,2715171.3106730003,67.89286133909283,0.0,766.8282935916445,0.46494298859771954,11.022783278248014,3112.2515645629132,500.05,0.6759018169921485,27030.66546515,79.55298559711943
